选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课时间
"13002033","大学英语Ⅰ","崂山校区","讲授","王琳梅","2.0","32","55","1-17周 二(7-8节)",
"13002032","大学英语Ⅰ","崂山校区","讲授","王琳梅","2.0","32","55","1-17周 二(5-6节)",
"13002031","大学英语Ⅰ","崂山校区","讲授","王琳梅","2.0","32","55","1-17周 一(3-4节)",
"13002030","大学英语Ⅰ","崂山校区","讲授","王琳梅","2.0","32","55","1-17周 一(1-2节)",
"13002029","大学英语Ⅰ","崂山校区","讲授","谭丽","2.0","32","55","1-17周 四(1-2节)",
"13002028","大学英语Ⅰ","崂山校区","讲授","谭丽","2.0","32","55","1-17周 三(3-4节)",
"13002027","大学英语Ⅰ","崂山校区","讲授","谭丽","2.0","32","55","1-17周 三(1-2节)",
"13002026","大学英语Ⅰ","崂山校区","讲授","谭丽","2.0","32","55","1-17周 二(3-4节)",
"13002025","大学英语Ⅰ","崂山校区","讲授","谭丽","2.0","32","55","1-17周 二(1-2节)",
"13002024","大学英语Ⅰ","崂山校区","讲授","管云秋","2.0","32","55","1-17周 五(3-4节)",
"13002023","大学英语Ⅰ","崂山校区","讲授","管云秋","2.0","32","55","1-17周 五(1-2节)",
"13002022","大学英语Ⅰ","崂山校区","讲授","管云秋","2.0","32","55","1-17周 四(3-4节)",
"13002021","大学英语Ⅰ","崂山校区","讲授","管云秋","2.0","32","55","1-17周 二(3-4节)",
"13002020","大学英语Ⅰ","崂山校区","讲授","管云秋","2.0","32","55","1-17周 二(1-2节)",
"18003086","体育(健身健美)","崂山校区","讲授","霍鑫","1.0","32","40","1-17周 二(3-4节)",
"18003085","体育(健身健美)","崂山校区","讲授","程晓艳","1.0","32","40","1-17周 五(3-4节)",
"18003084","体育(健身健美)","崂山校区","讲授","程晓艳","1.0","32","40","1-17周 一(3-4节)",
"18003083","体育(健身健美)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 五(5-6节)",
"18003082","体育(健身健美)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 四(3-4节)",
"18003081","体育(健身健美)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 三(5-6节)",
"18003080","体育(健身健美)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 三(3-4节)",
"18003079","体育(健身健美)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 二(5-6节)",
"18003239","体育(中级跆拳道)","崂山校区","讲授","刘蕊","1.0","32","40","1-17周 四(3-4节)",
"18003070","体育(击剑)","崂山校区","讲授","初奕剑","1.0","32","40","1-17周 一(5-6节)",
"18003167","体育(中级游泳)","崂山校区","讲授","曹娜","1.0","32","40","1-17周 二(1-2节)",
"18003169","体育(健康辅导课)","崂山校区","讲授","朱俊英","1.0","32","40","1-17周 四(3-4节)",
"18003168","体育(健康辅导课)","崂山校区","讲授","朱俊英","1.0","32","40","1-17周 一(3-4节)",
"18003091","体育(轮滑)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 三(3-4节)",
"18003090","体育(轮滑)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 三(1-2节)",
"18003089","体育(轮滑)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 一(5-6节)",
"18003123","体育(田径游戏)","崂山校区","讲授","杨多","1.0","32","40","1-17周 三(5-6节)",
"18003122","体育(田径游戏)","崂山校区","讲授","杨多","1.0","32","40","1-17周 三(3-4节)",
"18003121","体育(田径游戏)","崂山校区","讲授","杨多","1.0","32","40","1-17周 二(3-4节)",
"18003150","体育(瑜伽)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 五(7-8节)",
"18003149","体育(瑜伽)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 三(7-8节)",
"18003148","体育(瑜伽)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 二(7-8节)",
"18003069","体育(定向越野)","崂山校区","讲授","徐卫华","1.0","32","40","1-17周 四(3-4节)",
"18003068","体育(定向越野)","崂山校区","讲授","徐卫华","1.0","32","40","1-17周 四(1-2节)",
"18003067","体育(定向越野)","崂山校区","讲授","徐卫华","1.0","32","40","1-17周 三(5-6节)",
"18003066","体育(定向越野)","崂山校区","讲授","徐卫华","1.0","32","40","1-17周 三(3-4节)",
"18003065","体育(定向越野)","崂山校区","讲授","许衍菊","1.0","32","40","1-17周 四(3-4节)",
"18003064","体育(定向越野)","崂山校区","讲授","许衍菊","1.0","32","40","1-17周 四(1-2节)",
"18003063","体育(定向越野)","崂山校区","讲授","许衍菊","1.0","32","40","1-17周 二(5-6节)",
"18003062","体育(定向越野)","崂山校区","讲授","许衍菊","1.0","32","40","1-17周 二(3-4节)",
"18003061","体育(定向越野)","崂山校区","讲授","许衍菊","1.0","32","40","1-17周 二(1-2节)",
"18003147","体育(有氧舞蹈)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 五(1-2节)",
"18003146","体育(有氧舞蹈)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 四(1-2节)",
"18003145","体育(有氧舞蹈)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 一(3-4节)",
"18003112","体育(拓展训练)","崂山校区","讲授","王伟","1.0","32","40","1-17周 四(3-4节)",
"18003111","体育(拓展训练)","崂山校区","讲授","王伟","1.0","32","40","1-17周 四(1-2节)",
"18003129","体育(艺术体操)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 五(3-4节)",
"18003128","体育(艺术体操)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 三(5-6节)",
"18003127","体育(艺术体操)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 二(3-4节)",
"18003016","体育(初级剑)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 五(5-6节)",
"18003015","体育(初级剑)","崂山校区","讲授","丁涛","1.0","32","40","1-17周 二(5-6节)",
"18003014","体育(初级剑)","崂山校区","讲授","韩丽萍","1.0","32","40","1-17周 三(5-6节)",
"18003013","体育(初级剑)","崂山校区","讲授","韩丽萍","1.0","32","40","1-17周 一(5-6节)",
"18003001","体育(初级剑)","鱼山校区","讲授","韩丽萍","1.0","32","40","1-17周 五(5-6节)",
"18003088","体育(啦啦操)","崂山校区","讲授","杨多","1.0","32","40","1-17周 四(3-4节)",
"18003087","体育(啦啦操)","崂山校区","讲授","杨多","1.0","32","40","1-17周 二(1-2节)",
"18003144","体育(有氧踏板)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 三(3-4节)",
"18003143","体育(有氧踏板)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 三(1-2节)",
"18003142","体育(有氧踏板)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 一(5-6节)",
"18003141","体育(游泳)","崂山校区","讲授","初奕剑","1.0","32","30","1-17周 一(3-4节)",
"18003140","体育(游泳)","崂山校区","讲授","初奕剑","1.0","32","30","1-17周 一(1-2节)",
"18003139","体育(游泳)","崂山校区","讲授","徐卫华","1.0","32","30","1-17周 二(3-4节)",
"18003138","体育(游泳)","崂山校区","讲授","徐卫华","1.0","32","30","1-17周 二(1-2节)",
"18003137","体育(游泳)","崂山校区","讲授","王忠勇","1.0","32","30","1-17周 五(3-4节)",
"18003136","体育(游泳)","崂山校区","讲授","王忠勇","1.0","32","30","1-17周 五(1-2节)",
"18003135","体育(游泳)","崂山校区","讲授","曹娜","1.0","32","30","1-17周 五(3-4节)",
"18003134","体育(游泳)","崂山校区","讲授","曹娜","1.0","32","30","1-17周 五(1-2节)",
"18003133","体育(游泳)","崂山校区","讲授","曹娜","1.0","32","30","1-17周 四(1-2节)",
"18003132","体育(游泳)","崂山校区","讲授","李若鹏","1.0","32","30","1-17周 四(3-4节)",
"18003131","体育(游泳)","崂山校区","讲授","李若鹏","1.0","32","30","1-17周 四(1-2节)",
"18003130","体育(游泳)","崂山校区","讲授","李若鹏","1.0","32","30","1-17周 一(3-4节)",
"18003078","体育(健美操)","崂山校区","讲授","朱俊英","1.0","32","40","1-17周 二(3-4节)",
"18003077","体育(健美操)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 五(3-4节)",
"18003076","体育(健美操)","崂山校区","讲授","陆付祥","1.0","32","40","1-17周 四(3-4节)",
"18003075","体育(健美操)","崂山校区","讲授","杨多","1.0","32","40","1-17周 四(1-2节)",
"18003074","体育(健美操)","崂山校区","讲授","杨多","1.0","32","40","1-17周 二(5-6节)",
"18003073","体育(健美操)","崂山校区","讲授","韩丽萍","1.0","32","40","1-17周 三(3-4节)",
"18003072","体育(健美操)","崂山校区","讲授","韩丽萍","1.0","32","40","1-17周 一(3-4节)",
"18003071","体育(健美操)","崂山校区","讲授","韩丽萍","1.0","32","40","1-17周 一(1-2节)",
"18003008","体育(健美操)","鱼山校区","讲授","韩丽萍","1.0","32","40","1-17周 五(7-8节)",
"18003110","体育(柔道)","崂山校区","讲授","刘霞","1.0","32","40","1-17周 五(3-4节)",
"18003109","体育(柔道)","崂山校区","讲授","刘霞","1.0","32","40","1-17周 五(1-2节)",
"18003108","体育(柔道)","崂山校区","讲授","刘霞","1.0","32","40","1-17周 三(3-4节)",
"18003107","体育(柔道)","崂山校区","讲授","刘霞","1.0","32","40","1-17周 三(1-2节)",
"18003106","体育(柔道)","崂山校区","讲授","刘霞","1.0","32","40","1-17周 一(3-4节)",
"18003105","体育(柔道)","崂山校区","讲授","刘霞","1.0","32","40","1-17周 一(1-2节)",
"18003195","体育(长拳)","西海岸校区","讲授","高宇池","1.0","32","40","1-17周 二(3-4节)",
"18003194","体育(长拳)","西海岸校区","讲授","高宇池","1.0","32","40","1-17周 二(1-2节)",
"18003193","体育(长拳)","西海岸校区","讲授","高宇池","1.0","32","40","1-17周 一(3-4节)",
"18003192","体育(长拳)","西海岸校区","讲授","高宇池","1.0","32","40","1-17周 一(1-2节)",
"18003163","体育(长拳)","崂山校区","讲授","丁宏","1.0","32","40","1-17周 五(3-4节)",
"18003162","体育(长拳)","崂山校区","讲授","丁宏","1.0","32","40","1-17周 四(3-4节)",
"18003161","体育(长拳)","崂山校区","讲授","丁宏","1.0","32","40","1-17周 四(1-2节)",
"18003160","体育(长拳)","崂山校区","讲授","丁宏","1.0","32","40","1-17周 三(3-4节)",
"18003188","体育(跆拳道)","西海岸校区","讲授","颜红英","1.0","32","40","1-17周 三(5-6节)",
"18003187","体育(跆拳道)","西海岸校区","讲授","颜红英","1.0","32","40","1-17周 三(3-4节)",
"18003118","体育(跆拳道)","崂山校区","讲授","颜红英","1.0","32","40","1-17周 五(3-4节)",
"18003116","体育(跆拳道)","崂山校区","讲授","刘蕊","1.0","32","40","1-17周 四(1-2节)",
"18003115","体育(跆拳道)","崂山校区","讲授","刘蕊","1.0","32","40","1-17周 三(3-4节)",
"18003114","体育(跆拳道)","崂山校区","讲授","刘蕊","1.0","32","40","1-17周 三(1-2节)",
"18003113","体育(跆拳道)","崂山校区","讲授","刘蕊","1.0","32","40","1-17周 二(3-4节)",
"18003191","体育(太极拳)","西海岸校区","讲授","颜红英","1.0","32","40","1-17周 三(1-2节)",
"18003190","体育(太极拳)","西海岸校区","讲授","高宇池","1.0","32","40","1-17周 二(5-6节)",
"18003189","体育(太极拳)","西海岸校区","讲授","高宇池","1.0","32","40","1-17周 一(5-6节)",
"18003120","体育(太极拳)","崂山校区","讲授","高宇池","1.0","32","40","1-17周 三(5-6节)",
"18003119","体育(太极拳)","崂山校区","讲授","颜红英","1.0","32","40","1-17周 五(5-6节)",
"18003104","体育(拳击)","崂山校区","讲授","于联志","1.0","32","40","1-17周 四(3-4节)",
"18003103","体育(拳击)","崂山校区","讲授","于联志","1.0","32","40","1-17周 四(1-2节)",
"18003102","体育(拳击)","崂山校区","讲授","于联志","1.0","32","40","1-17周 一(3-4节)",
"18003101","体育(拳击)","崂山校区","讲授","于联志","1.0","32","40","1-16周 一(1-2节)",
"18003011","体育(拳击)","鱼山校区","讲授","于联志","1.0","32","40","1-17周 二(3-4节)",
"18003010","体育(拳击)","鱼山校区","讲授","于联志","1.0","32","40","1-17周 二(1-2节)",
"18003166","体育(中级排球)","崂山校区","讲授","霍鑫","1.0","32","40","1-17周 三(3-4节)",
"18003267","体育(初级排球)","西海岸校区","讲授","孙闻泽","1.0","32","40","1-17周 四(3-4节)",
"18003266","体育(初级排球)","西海岸校区","讲授","孙闻泽","1.0","32","40","1-17周 四(1-2节)",
"18003265","体育(初级排球)","西海岸校区","讲授","孙闻泽","1.0","32","40","1-17周 一(7-8节)",
"18003264","体育(初级排球)","西海岸校区","讲授","孙闻泽","1.0","32","40","1-17周 一(3-4节)",
"18003263","体育(初级排球)","西海岸校区","讲授","孙闻泽","1.0","32","40","1-17周 一(1-2节)",
"18003200","体育(初级排球)","西海岸校区","讲授","关敏","1.0","32","40","1-17周 五(1-2节)",
"18003199","体育(初级排球)","崂山校区","讲授","矫健","1.0","32","40","1-17周 三(1-2节)",
"18003198","体育(初级排球)","崂山校区","讲授","王毅","1.0","32","40","1-17周 四(3-4节)",
"18003175","体育(初级排球)","崂山校区","讲授","王忠勇","1.0","32","40","1-17周 四(3-4节)",
"18003042","体育(初级排球)","崂山校区","讲授","王忠勇","1.0","32","40","1-17周 四(1-2节)",
"18003041","体育(初级排球)","崂山校区","讲授","孙闻泽","1.0","32","40","1-17周 三(5-6节)",
"18003040","体育(初级排球)","崂山校区","讲授","孙闻泽","1.0","32","40","1-17周 三(3-4节)",
"18003039","体育(初级排球)","崂山校区","讲授","孙闻泽","1.0","32","40","1-17周 三(1-2节)",
"18003038","体育(初级排球)","崂山校区","讲授","李强","1.0","32","40","1-17周 五(5-6节)",
"18003037","体育(初级排球)","崂山校区","讲授","李强","1.0","32","40","1-17周 四(1-2节)",
"18003036","体育(初级排球)","崂山校区","讲授","李强","1.0","32","40","1-17周 三(5-6节)",
"18003005","体育(初级排球)","鱼山校区","讲授","关敏","1.0","32","40","1-17周 三(3-4节)",
"18003100","体育(乒乓球)","崂山校区","讲授","陈平","1.0","32","40","1-17周 三(3-4节)",
"18003099","体育(乒乓球)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 二(3-4节)",
"18003098","体育(乒乓球)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 二(1-2节)",
"18003097","体育(乒乓球)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 一(3-4节)",
"18003096","体育(乒乓球)","崂山校区","讲授","王誉萤","1.0","32","40","1-17周 一(1-2节)",
"18003095","体育(乒乓球)","崂山校区","讲授","杨韵","1.0","32","40","1-17周 五(3-4节)",
"18003094","体育(乒乓球)","崂山校区","讲授","杨韵","1.0","32","40","1-17周 五(1-2节)",
"18003093","体育(乒乓球)","崂山校区","讲授","杨韵","1.0","32","40","1-17周 四(3-4节)",
"18003092","体育(乒乓球)","崂山校区","讲授","杨韵","1.0","32","40","1-17周 四(1-2节)",
"18003183","体育(初级网球)","西海岸校区","讲授","常晓峰","1.0","32","40","1-17周 一(5-6节)",
"18003182","体育(初级网球)","西海岸校区","讲授","常晓峰","1.0","32","40","1-17周 一(3-4节)",
"18003181","体育(初级网球)","西海岸校区","讲授","常晓峰","1.0","32","40","1-17周 一(1-2节)",
"18003050","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-16周 五(5-6节)",
"18003049","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 五(3-4节)",
"18003048","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 五(1-2节)",
"18003047","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 三(5-6节)",
"18003046","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 三(3-4节)",
"18003045","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 三(1-2节)",
"18003044","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 一(5-6节)",
"18003043","体育(初级网球)","崂山校区","讲授","于文兵","1.0","32","40","1-17周 一(1-2节)",
"18003159","体育(羽毛球)","崂山校区","讲授","卞希国","1.0","32","40","1-17周 三(3-4节)",
"18003158","体育(羽毛球)","崂山校区","讲授","杨韵","1.0","32","40","1-17周 二(3-4节)",
"18003157","体育(羽毛球)","崂山校区","讲授","关敏","1.0","32","40","1-16周 一(3-4节)",
"18003156","体育(羽毛球)","崂山校区","讲授","关敏","1.0","32","40","1-17周 一(1-2节)",
"18003155","体育(羽毛球)","崂山校区","讲授","李强","1.0","32","40","1-17周 五(3-4节)",
"18003154","体育(羽毛球)","崂山校区","讲授","李强","1.0","32","40","1-17周 三(1-2节)",
"18003153","体育(羽毛球)","崂山校区","讲授","陈平","1.0","32","40","1-17周 四(3-4节)",
"18003152","体育(羽毛球)","崂山校区","讲授","陈平","1.0","32","40","1-17周 四(1-2节)",
"18003151","体育(羽毛球)","崂山校区","讲授","陈平","1.0","32","40","1-17周 二(1-2节)",
"18003186","体育(初级足球)","西海岸校区","讲授","矫健","1.0","32","40","1-17周 二(5-6节)",
"18003185","体育(初级足球)","西海岸校区","讲授","矫健","1.0","32","40","1-17周 二(3-4节)",
"18003184","体育(初级足球)","西海岸校区","讲授","矫健","1.0","32","40","1-17周 二(1-2节)",
"18003060","体育(初级足球)","崂山校区","讲授","矫健","1.0","32","40","1-17周 四(3-4节)",
"18003059","体育(初级足球)","崂山校区","讲授","矫健","1.0","32","40","1-17周 四(1-2节)",
"18003058","体育(初级足球)","崂山校区","讲授","矫健","1.0","32","40","1-17周 三(3-4节)",
"18003057","体育(初级足球)","崂山校区","讲授","卞希国","1.0","32","40","1-17周 五(3-4节)",
"18003056","体育(初级足球)","崂山校区","讲授","卞希国","1.0","32","40","1-17周 四(3-4节)",
"18003055","体育(初级足球)","崂山校区","讲授","卞希国","1.0","32","40","1-17周 二(3-4节)",
"18003054","体育(初级足球)","崂山校区","讲授","卞希国","1.0","32","40","1-17周 一(3-4节)",
"18003053","体育(初级足球)","崂山校区","讲授","李若鹏","1.0","32","40","1-17周 三(1-2节)",
"18003052","体育(初级足球)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 五(3-4节)",
"18003051","体育(初级足球)","崂山校区","讲授","谭嘉辉","1.0","32","40","1-17周 二(3-4节)",
"18003007","体育(初级足球)","鱼山校区","讲授","李若鹏","1.0","32","40","1-17周 五(3-4节)",
"18003006","体育(初级足球)","鱼山校区","讲授","李若鹏","1.0","32","40","1-17周 五(1-2节)",
"18003126","体育(形体)","崂山校区","讲授","杨多","1.0","32","40","1-17周 三(1-2节)",
"18003125","体育(形体)","崂山校区","讲授","朱俊英","1.0","32","40","1-17周 二(1-2节)",
"18003124","体育(形体)","崂山校区","讲授","朱俊英","1.0","32","40","1-17周 一(5-6节)",
"18003009","体育(毽球)","鱼山校区","讲授","关敏","1.0","32","40","1-17周 三(1-2节)",
"18003165","体育(中级篮球)","崂山校区","讲授","丁宏","1.0","32","40","1-17周 三(1-2节)",
"18003164","体育(中级篮球)","崂山校区","讲授","王毅","1.0","32","40","1-17周 四(1-2节)",
"18003012","体育(中级篮球)","鱼山校区","讲授","王伟","1.0","32","40","1-17周 二(1-2节)",
"18003174","体育(初级篮球)","西海岸校区","讲授","关敏","1.0","32","40","1-17周 五(5-6节)",
"18003173","体育(初级篮球)","西海岸校区","讲授","关敏","1.0","32","40","1-16周 五(3-4节)",
"18003172","体育(初级篮球)","西海岸校区","讲授","初奕剑","1.0","32","40","1-17周 三(5-6节)",
"18003171","体育(初级篮球)","西海岸校区","讲授","初奕剑","1.0","32","40","1-17周 三(3-4节)",
"18003170","体育(初级篮球)","西海岸校区","讲授","初奕剑","1.0","32","40","1-17周 三(1-2节)",
"18003032","体育(初级篮球)","崂山校区","讲授","孙闻泽","1.0","32","40","1-17周 一(5-6节)",
"18003031","体育(初级篮球)","崂山校区","讲授","徐卫华","1.0","32","40","1-17周 二(5-6节)",
"18003030","体育(初级篮球)","崂山校区","讲授","丁宏","1.0","32","40","1-17周 五(1-2节)",
"18003029","体育(初级篮球)","崂山校区","讲授","丁宏","1.0","32","40","1-16周 三(5-6节)",
"18003028","体育(初级篮球)","崂山校区","讲授","王毅","1.0","32","40","1-17周 五(5-6节)",
"18003027","体育(初级篮球)","崂山校区","讲授","王毅","1.0","32","40","1-17周 五(3-4节)",
"18003026","体育(初级篮球)","崂山校区","讲授","李世明","1.0","32","40","1-17周 四(3-4节)",
"18003025","体育(初级篮球)","崂山校区","讲授","李世明","1.0","32","40","1-17周 三(3-4节)",
"18003024","体育(初级篮球)","崂山校区","讲授","李世明","1.0","32","40","1-17周 三(1-2节)",
"18003023","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 五(3-4节)",
"18003022","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 五(1-2节)",
"18003021","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 四(3-4节)",
"18003020","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 四(1-2节)",
"18003019","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 三(5-6节)",
"18003018","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 三(3-4节)",
"18003017","体育(初级篮球)","崂山校区","讲授","李传发","1.0","32","40","1-17周 三(1-2节)",
"18003004","体育(初级篮球)","鱼山校区","讲授","王伟","1.0","32","40","1-17周 二(3-4节)",
"18003003","体育(初级篮球)","鱼山校区","讲授","许衍菊","1.0","32","40","1-17周 一(3-4节)",
"18003002","体育(初级篮球)","鱼山校区","讲授","许衍菊","1.0","32","40","1-17周 一(1-2节)",
"19000121","军事科学概论","崂山校区","讲授","李大陆","2.0","32","100","1-17周 二(7-8节)",
"19000120","军事科学概论","崂山校区","讲授","李大陆","2.0","32","100","1-17周 二(5-6节)",
"19000119","军事科学概论","崂山校区","讲授","李大陆","2.0","32","100","1-17周 二(3-4节)",
"19000118","军事科学概论","崂山校区","讲授","李尹","2.0","32","100","1-17周 四(3-4节)",
"19000117","军事科学概论","崂山校区","讲授","李尹","2.0","32","100","1-17周 三(3-4节)",
"19000116","军事科学概论","崂山校区","讲授","李尹","2.0","32","100","1-17周 二(5-6节)",
"19000115","军事科学概论","崂山校区","讲授","李尹","2.0","32","100","1-17周 二(3-4节)",
"19000114","军事科学概论","崂山校区","讲授","俞鸣奇","2.0","32","100","1-17周 三(10-11节)",
"19000113","军事科学概论","崂山校区","讲授","俞鸣奇","2.0","32","100","1-17周 三(7-8节)",
"19000112","军事科学概论","崂山校区","讲授","俞鸣奇","2.0","32","100","1-17周 二(10-11节)",
"19000111","军事科学概论","崂山校区","讲授","俞鸣奇","2.0","32","100","1-17周 二(7-8节)",
"19000110","军事科学概论","崂山校区","讲授","张坤珵","2.0","32","100","1-17周 二(10-11节)",
"19000109","军事科学概论","崂山校区","讲授","张坤珵","2.0","32","100","1-17周 一(10-11节)",
"19000108","军事科学概论","崂山校区","讲授","张坤珵","2.0","32","100","1-17周 一(7-8节)",
"19000107","军事科学概论","崂山校区","讲授","张坤珵","2.0","32","100","1-17周 一(5-6节)",
"19000106","军事科学概论","崂山校区","讲授","万晋","2.0","32","100","1-17周 五(5-6节)",
"19000105","军事科学概论","崂山校区","讲授","万晋","2.0","32","100","1-17周 二(5-6节)",
"19000104","军事科学概论","崂山校区","讲授","万晋","2.0","32","100","1-17周 二(3-4节)",
"19000103","军事科学概论","崂山校区","讲授","万晋","2.0","32","100","1-17周 二(1-2节)",
"19000102","军事科学概论","崂山校区","讲授","刘晓玮","2.0","32","100","1-17周 五(5-6节)",
"19000101","军事科学概论","崂山校区","讲授","刘晓玮","2.0","32","100","1-17周 五(3-4节)",
"19000100","军事科学概论","崂山校区","讲授","刘晓玮","2.0","32","100","1-17周 一(5-6节)",
"19000099","军事科学概论","崂山校区","讲授","刘晓玮","2.0","32","100","1-17周 一(3-4节)",
"19000010","军事科学概论","鱼山校区","讲授","郭新昌","2.0","32","80","1-17周 二(5-6节)",
"19000202","形势与政策-2022秋","西海岸校区","讲授","毕凤晓","0.25","8","200","10-13周 日(5-6节)",
"19000201","形势与政策-2022秋","西海岸校区","讲授","毕凤晓","0.25","8","200","10-13周 日(3-4节)",
"19000200","形势与政策-2022秋","西海岸校区","讲授","毕凤晓","0.25","8","200","10-13周 日(1-2节)",
"19000199","形势与政策-2022秋","西海岸校区","讲授","毕凤晓","0.25","8","200","10-13周 六(7-8节)",
"19000198","形势与政策-2022秋","西海岸校区","讲授","毕凤晓","0.25","8","200","10-13周 六(5-6节)",
"19000197","形势与政策-2022秋","西海岸校区","讲授","李壮","0.25","8","200","6-9周 日(7-8节)",
"19000196","形势与政策-2022秋","西海岸校区","讲授","李壮","0.25","8","200","6-9周 日(5-6节)",
"19000195","形势与政策-2022秋","西海岸校区","讲授","李壮","0.25","8","200","6-9周 日(3-4节)",
"19000194","形势与政策-2022秋","西海岸校区","讲授","李壮","0.25","8","200","6-9周 日(1-2节)",
"19000193","形势与政策-2022秋","西海岸校区","讲授","李壮","0.25","8","200","6-9周 六(7-8节)",
"19000192","形势与政策-2022秋","西海岸校区","讲授","李壮","0.25","8","200","6-9周 六(5-6节)",
"19000191","形势与政策-2022秋","崂山校区","讲授","隋筱童","0.25","8","200","10-13周 日(7-8节)",
"19000190","形势与政策-2022秋","崂山校区","讲授","隋筱童","0.25","8","200","10-13周 日(5-6节)",
"19000189","形势与政策-2022秋","崂山校区","讲授","隋筱童","0.25","8","200","10-13周 日(3-4节)",
"19000188","形势与政策-2022秋","崂山校区","讲授","隋筱童","0.25","8","200","10-13周 日(1-2节)",
"19000187","形势与政策-2022秋","崂山校区","讲授","孙艺格","0.25","8","200","10-13周 六(7-8节)",
"19000186","形势与政策-2022秋","崂山校区","讲授","孙艺格","0.25","8","200","10-13周 六(5-6节)",
"19000185","形势与政策-2022秋","崂山校区","讲授","孙艺格","0.25","8","200","10-13周 六(3-4节)",
"19000184","形势与政策-2022秋","崂山校区","讲授","孙艺格","0.25","8","200","10-13周 六(1-2节)",
"19000183","形势与政策-2022秋","崂山校区","讲授","张亮","0.25","8","200","10-13周 五(7-8节)",
"19000182","形势与政策-2022秋","崂山校区","讲授","张亮","0.25","8","200","10-13周 五(5-6节)",
"19000181","形势与政策-2022秋","崂山校区","讲授","张亮","0.25","8","200","10-13周 五(3-4节)",
"19000180","形势与政策-2022秋","崂山校区","讲授","张亮","0.25","8","200","10-13周 五(1-2节)",
"19000179","形势与政策-2022秋","崂山校区","讲授","连雪晴","0.25","8","200","10-13周 一(7-8节)",
"19000178","形势与政策-2022秋","崂山校区","讲授","连雪晴","0.25","8","200","10-13周 一(5-6节)",
"19000177","形势与政策-2022秋","崂山校区","讲授","连雪晴","0.25","8","200","10-13周 一(3-4节)",
"19000176","形势与政策-2022秋","崂山校区","讲授","连雪晴","0.25","8","200","10-13周 一(1-2节)",
"19000175","形势与政策-2022秋","崂山校区","讲授","曹书林","0.25","8","200","6-9周 日(7-8节)",
"19000174","形势与政策-2022秋","崂山校区","讲授","曹书林","0.25","8","200","6-9周 日(5-6节)",
"19000173","形势与政策-2022秋","崂山校区","讲授","曹书林","0.25","8","200","6-9周 日(3-4节)",
"19000172","形势与政策-2022秋","崂山校区","讲授","曹书林","0.25","8","200","6-9周 日(1-2节)",
"19000171","形势与政策-2022秋","崂山校区","讲授","刘乔","0.25","8","200","6-9周 六(7-8节)",
"19000170","形势与政策-2022秋","崂山校区","讲授","刘乔","0.25","8","200","6-9周 六(5-6节)",
"19000169","形势与政策-2022秋","崂山校区","讲授","刘乔","0.25","8","200","6-9周 六(3-4节)",
"19000168","形势与政策-2022秋","崂山校区","讲授","刘乔","0.25","8","200","6-9周 六(1-2节)",
"19000167","形势与政策-2022秋","崂山校区","讲授","李鸽","0.25","8","200","6-9周 五(7-8节)",
